가게 이름,별점,리뷰 수,태그들
KFC 창동역점,2.6,7,"#데이트코스, #혼밥, #카카오페이, #제로페이"
생생돈까스 하나로창동점,0,0,#제로페이
유엑스플러스푸드,0,0,#카카오페이
오스시,4.0,2,"#회전초밥, #제로페이"
감탄계숯불치킨 창동씨드큐브점,3.1,11,#카카오페이
,122,,
하북성,0,0,#제로페이
정식품,0,0,#제로페이
유선식품,0,0,
거궁 창동점,2.5,31,"#가족모임, #돌잔치, #상견례, #친목모임"
송사부수제쌀고로케 하나로마트창동점,1.0,1,
써브웨이 창동역점,4.0,4,"#혼밥, #카카오페이"
도담솥밥,4.6,13,
청담동샤브 창동씨드큐브점,0,0,
던킨 창동하나로점,3.7,3,"#카카오페이, #제로페이"
초가집,0,0,
송추가마골 인어반 창동점,2.0,3,"#가족모임, #점심식사, #점심특선, #친목모임, #회식장소"
푸른칡냉면,0,0,
수라당 농협하나로클럽 창동점,0,0,
이삭토스트 창동하나로클럽점,0,0,"#카카오페이, #제로페이"
죽도령 도봉창동점,1.0,1,
밥하는 녀석들,0,0,#이동약자접근
더사르르아이스크림할인점세계과자,5.0,1,
샐러바웃 창동점,4.0,4,
순수덮밥 도봉구점,0,0,
순수덮밥 도봉점,0,0,#이동약자접근
뚜레쥬르 창동동아점,4.3,3,"#카카오페이, #제로페이"
프랭크버거 창동하나로마트점,3.0,4,"#혼밥, #카카오페이, #제로페이"
하즈벤 하나로마트창동점,1.0,1,
빵굽는사람들,0,0,
김밥나라 창동점,3.6,8,"#점심식사, #제로페이"
밀숲 창동점,3.5,15,"#혼밥, #제로페이"
배스킨라빈스 창동역1점,3.2,5,"#카카오페이, #제로페이"
코토코토,3.5,10,"#혼밥, #제로페이"
역전우동0410 창동역점,5.0,2,"#혼밥, #카카오페이, #제로페이"
왕차이 2호점,5.0,2,
스시영,4.5,31,"#가성비좋은, #점심식사, #혼밥, #혼술, #회전초밥, #제로페이"
방콕스토리,3.2,13,"#이국적인, #혼밥, #제로페이"
샐러디 창동역점,3.3,8,"#건강식, #혼밥, #카카오페이, #제로페이"
본죽&비빔밥cafe 창4동점,4.8,4,"#죽전문점, #혼밥, #제로페이"
창고을만두,2.6,8,#제로페이
곤지암소머리국밥,0,0,
꽈백최선생 본점,4.6,8,#제로페이
베를린호프,5.0,1,#제로페이
생활맥주 창동역점,3.8,6,"#간맥, #분위기좋은, #수제맥주, #스몰비어, #치맥, #친목모임, #제로페이"
창골회관,1.0,1,
팝치킨,0,0,#제로페이
88흑염소 창동본점,5.0,2,"#가족모임, #점심특선, #친목모임"
갑식이네착한낙지 창동점,3.5,6,"#친목모임, #혼밥, #회식장소, #제로페이"
우시라멘,3.0,5,"#혼밥, #카카오페이"
꼬꼬옛날통닭 창동점,0,0,"#카카오페이, #제로페이"
창동153회전초밥,5.0,10,"#회전초밥, #제로페이"
매운국물떡볶이 밀방떡 도봉구점,0,0,
정이가김밥,4.8,4,"#혼밥, #카카오페이, #제로페이"
민주네 분식,0,0,
자꾸자꾸먹고싶은삼겹살,5.0,1,#제로페이
오렌지분식,4.3,4,#제로페이
처갓집양념치킨 창5점,3.0,6,"#혼술, #제로페이"
쇼지키,0,0,
가마봉생고기,4.6,10,"#노포, #제로페이"
마몽함박,3.5,2,"#경양식요리, #혼밥"
레 필로조프,3.3,3,#제로페이
참생고기집,4.6,9,"#가족모임, #제로페이"
파스타주,0,0,#제로페이
장수봉평메밀촌 본점,4.3,13,"#노포, #제로페이"
소문난기사식당,0,0,
청송식당,5.0,1,
돈이랑,3.5,2,"#노포, #제로페이"
인생닭볶음탕 방학점,0,0,
제육대가 도봉점,1.0,1,
두찜 도봉방학점,3.4,5,#제로페이
천상마라탕 도봉점,0,0,
창동전주식당,0,0,#제로페이
나인,0,0,"#카카오페이, #제로페이"
온맘아틀리에,0,0,#제로페이
미스터큐 상계마들점,0,0,"#애견동반식당, #제로페이"
빵빵아이스크림,0,0,"#카카오페이, #제로페이"
BBQ 방학1동점,5.0,1,
방학동이야기,4.3,6,"#혼술, #제로페이"
핫도그꽈배기스타,0,0,
블레싱쿠키,0,0,"#수제디저트, #수제케이크, #쿠킹클래스"
백년카츠 마들점,5.0,1,"#혼밥, #제로페이"
대왕족발,5.0,4,"#노포, #제로페이"
풍성해장국,0,0,#제로페이
브라운톡,0,0,
밥꼬찜닭,0,0,
쿠젠 마들점,0,0,#제로페이
병아리분식,0,0,#제로페이
피자스쿨 방학점,5.0,1,"#카카오페이, #제로페이"
콩밭 방학점,5.0,1,#제로페이
