,id,place_name,category_name,category_group_code,category_group_name,phone,address_name,road_address_name,x,y,place_url,distance,가게 이름,별점,리뷰 수,태그들,연번,업소명,소재지,지정등급,지정번호,지정일자
4205,524284425,고래맥주창고 창동점,"가정,생활 > 식품판매 > 주류판매 > 고래맥주창고",FD6,음식점,010-9090-5134,서울 도봉구 창동 252,서울 도봉구 노해로63다길 41,127.0456513,37.65466194,http://place.map.kakao.com/524284425,89,고래맥주창고 창동점,0,0,"#세계맥주, #제로페이",,,,,,
122,1886037592,고래맥주창고 방학점,"가정,생활 > 식품판매 > 주류판매 > 고래맥주창고",FD6,음식점,,서울 도봉구 방학동 716-1,서울 도봉구 도봉로150길 31,127.0450295,37.66637044,http://place.map.kakao.com/1886037592,425,고래맥주창고 방학점,0,0,"#세계맥주, #제로페이",,,,,,
6303,20937361,모래스푼,"가정,생활 > 유아 > 놀이시설 > 키즈카페",CE7,카페,02-996-5252,서울 도봉구 쌍문동 311,서울 도봉구 시루봉로 2,127.0287784,37.65117145,http://place.map.kakao.com/20937361,405,모래스푼,4.7,11,"#비올때아이랑, #아이와놀자, #제로페이",,,,,,
5439,27394960,플레이방방 방학점,"가정,생활 > 유아 > 놀이시설 > 키즈카페",CE7,카페,070-7530-5860,서울 도봉구 방학동 718-3,서울 도봉구 도봉로150다길 64,127.0445334,37.66894292,http://place.map.kakao.com/27394960,641,플레이방방 방학점,4.5,2,"#이동약자접근, #제로페이",,,,,,
6330,38242363,디아망 강북본점,"가정,생활 > 유아 > 놀이시설 > 키즈카페",CE7,카페,02-997-0210,서울 도봉구 쌍문동 653,서울 도봉구 도봉로 575,127.0388166,37.65639788,http://place.map.kakao.com/38242363,528,디아망 강북본점,4.5,6,"#비올때아이랑, #아이와놀자, #제로페이",,,,,,
6097,371572283,아미고키즈카페,"가정,생활 > 유아 > 놀이시설 > 키즈카페",CE7,카페,02-6449-0608,서울 도봉구 창동 651-36,서울 도봉구 도봉로110길 65,127.0371389,37.64641913,http://place.map.kakao.com/371572283,941,아미고키즈카페,5,1,"#비올때아이랑, #아이와놀자, #제로페이",,,,,,
6417,517036913,뛰노리방방 방학점,"가정,생활 > 유아 > 놀이시설 > 키즈카페",CE7,카페,02-956-5337,서울 도봉구 방학동 671-18,서울 도봉구 도당로 46,127.0349061,37.66213475,http://place.map.kakao.com/517036913,502,뛰노리방방 방학점,5,1,"#비올때아이랑, #제로페이",,,,,,
5383,945235417,키블리 창동점,"가정,생활 > 유아 > 놀이시설 > 키즈카페",CE7,카페,02-905-2484,서울 도봉구 창동 826,서울 도봉구 도봉로136가길 73,127.0429932,37.65542427,http://place.map.kakao.com/945235417,693,키블리 창동점,4.5,4,"#비올때아이랑, #아이와놀자, #아이와함께, #트램폴린카페, #제로페이",,,,,,
5397,1365338999,펀플키즈카페,"가정,생활 > 유아 > 놀이시설 > 키즈카페",CE7,카페,02-956-4588,서울 도봉구 방학동 715,서울 도봉구 도봉로150길 28,127.0447164,37.66592457,http://place.map.kakao.com/1365338999,737,펀플키즈카페,5,1,"#도봉구, #방학동, #키즈카페, #비올때아이랑, #제로페이",,,,,,
6306,2025938087,키즈팡팡 쌍문점,"가정,생활 > 유아 > 놀이시설 > 키즈카페",CE7,카페,02-904-3210,서울 도봉구 쌍문동 358,서울 도봉구 우이천로32길 38,127.0252014,37.64920362,http://place.map.kakao.com/2025938087,439,키즈팡팡 쌍문점,4.6,5,"#비올때아이랑, #제로페이",,,,,,
4623,15367119,맛나순대국,음식점,FD6,음식점,,서울 도봉구 방학동 672-32,서울 도봉구 방학로5길 8,127.0373373,37.66241691,http://place.map.kakao.com/15367119,180,맛나순대국,5,1,"#노포, #제로페이",,,,,,
