,place_name,category_name,category_group_name,road_address_name,x,y,place_url,distance,별점,리뷰 수,태그들,지정등급,category
0,맛나순대국,음식점 > 국밥,음식점,서울 도봉구 방학로5길 8,127.0373373,37.66241691,http://place.map.kakao.com/15367119,180,5.0,1,"#노포, #제로페이",,"찌개,전골,국밥"
1,카레앤돈,음식점 > 일식,음식점,서울 도봉구 도봉로139길 74,127.0376945,37.66065448,http://place.map.kakao.com/1302207758,153,5.0,1,#제로페이,,일식
2,최순옥 명품국밥 창동점,음식점 > 국밥,음식점,서울 도봉구 노해로 379,127.0502554,37.65247519,http://place.map.kakao.com/1943245333,319,0.0,0,"#혼밥, #카카오페이, #제로페이",,"찌개,전골,국밥"
3,마라집 쌍문,음식점 > 중식,음식점,서울 도봉구 시루봉로 67,127.0275781,37.65683802,http://place.map.kakao.com/2017669864,409,5.0,1,"#카카오페이, #제로페이",,중식
4,별미분식,음식점 > 분식,음식점,서울 도봉구 도봉로153길 58,127.0401748,37.67004549,http://place.map.kakao.com/2086901568,269,0.0,0,#제로페이,,간식
5,쌍문동꽈배기BY꽈백최선생,음식점 > 간식,음식점,서울 도봉구 방학로3길 127,127.038407,37.65768462,http://place.map.kakao.com/1829781658,79,3.1,12,#제로페이,,간식
6,토스트유 쌍문본점,음식점 > 간식,음식점,서울 도봉구 도봉로133길 20,127.03856,37.65764763,http://place.map.kakao.com/1931516114,81,0.0,0,#제로페이,,간식
7,꼬꼬스토리 쌍문점,음식점 > 간식 > 닭강정,음식점,서울 도봉구 해등로26길 7,127.0326072,37.65843598,http://place.map.kakao.com/26870233,321,4.8,9,#제로페이,,간식
8,이나닭강정 방학점,음식점 > 간식 > 닭강정,음식점,서울 도봉구 도당로13가길 14,127.0362735,37.66573466,http://place.map.kakao.com/478496047,95,0.0,0,#제로페이,,간식
9,조선닭강정,음식점 > 간식 > 닭강정,음식점,서울 도봉구 우이천로12길 52,127.0408682,37.63658636,http://place.map.kakao.com/545240830,806,4.0,1,#제로페이,,간식
10,스마일닭강정,음식점 > 간식 > 닭강정,음식점,서울 도봉구 노해로 269,127.0380039,37.65166618,http://place.map.kakao.com/1746723497,447,3.3,47,"#혼술, #제로페이",,간식
11,큰집닭강정 쌍문역점,음식점 > 간식 > 닭강정,음식점,서울 도봉구 도봉로112길 19,127.035725,37.6469097,http://place.map.kakao.com/1770832757,48,2.8,5,#제로페이,,간식
12,알통떡강정 쌍문점,음식점 > 간식 > 닭강정 > 알통떡강정,음식점,서울 도봉구 노해로60길 85,127.0331679,37.64765196,http://place.map.kakao.com/1811090119,68,0.0,0,#제로페이,,간식
13,꽈백최선생 방학점,음식점 > 간식 > 도넛,음식점,서울 도봉구 도봉로145길 14,127.0417892,37.6646958,http://place.map.kakao.com/76866987,175,5.0,2,#제로페이,,간식
14,화승꽈배기,음식점 > 간식 > 도넛,음식점,서울 도봉구 도봉로114길 22-5,127.0356481,37.64720705,http://place.map.kakao.com/1290576863,60,4.4,17,#제로페이,,간식
15,던킨 쌍문역점,음식점 > 간식 > 도넛 > 던킨,음식점,서울 도봉구 도봉로 468,127.0343745,37.64738583,http://place.map.kakao.com/15382164,21,1.3,13,"#카카오페이, #제로페이",매우우수,간식
16,던킨 창동하나로점,음식점 > 간식 > 도넛 > 던킨,음식점,서울 도봉구 마들로11길 20,127.051277,37.65506327,http://place.map.kakao.com/19332386,129,3.7,3,"#카카오페이, #제로페이",매우우수,간식
17,낙원복떡집,"음식점 > 간식 > 떡,한과",음식점,서울 도봉구 도당로13가길 8,127.0360241,37.66559238,http://place.map.kakao.com/10192043,84,0.0,0,#제로페이,,간식
18,낙원복떡집,"음식점 > 간식 > 떡,한과",음식점,서울 도봉구 도당로13가길 8,127.0360241,37.66559238,http://place.map.kakao.com/10192043,84,4.0,4,#제로페이,,간식
19,오병이어,"음식점 > 간식 > 떡,한과",음식점,서울 도봉구 노해로63길 84-9,127.0470008,37.65252428,http://place.map.kakao.com/12052540,156,4.0,9,#제로페이,,간식
20,오병이어떡전문점,"음식점 > 간식 > 떡,한과",음식점,서울 도봉구 도봉로156길 30,127.0459344,37.67257334,http://place.map.kakao.com/12180720,161,0.0,0,#제로페이,,간식
21,청기와떡방,"음식점 > 간식 > 떡,한과",음식점,서울 도봉구 해등로 200,127.0345382,37.65824802,http://place.map.kakao.com/12504117,321,0.0,0,#제로페이,,간식
22,떡의나라 창동역점,"음식점 > 간식 > 떡,한과",음식점,서울 도봉구 노해로63길 84-4,127.0466338,37.65269381,http://place.map.kakao.com/15342079,98,0.0,0,#제로페이,,간식
23,한양떡집,"음식점 > 간식 > 떡,한과",음식점,서울 도봉구 도봉로109길 27,127.0317409,37.64685318,http://place.map.kakao.com/16500880,36,0.0,0,#제로페이,,간식
24,대원떡집,"음식점 > 간식 > 떡,한과",음식점,서울 도봉구 도봉로113길 16,127.0333053,37.6482763,http://place.map.kakao.com/16705609,60,0.0,0,#제로페이,,간식
25,제일떡집,"음식점 > 간식 > 떡,한과",음식점,서울 도봉구 덕릉로57길 47,127.0361252,37.64022428,http://place.map.kakao.com/16850911,171,0.0,0,#제로페이,,간식
26,낙원복떡집,"음식점 > 간식 > 떡,한과",음식점,서울 도봉구 덕릉로57길 31,127.0368365,37.639806,http://place.map.kakao.com/17003514,80,0.0,0,#제로페이,,간식
27,낙원복떡집,"음식점 > 간식 > 떡,한과",음식점,서울 도봉구 덕릉로57길 31,127.0368365,37.639806,http://place.map.kakao.com/17003514,80,4.0,4,#제로페이,,간식
28,종로떡방,"음식점 > 간식 > 떡,한과",음식점,서울 도봉구 도봉로 471,127.0338852,37.64784727,http://place.map.kakao.com/17005302,45,3.0,2,#제로페이,,간식
29,종로떡방,"음식점 > 간식 > 떡,한과",음식점,서울 도봉구 도봉로 471,127.0338852,37.64784727,http://place.map.kakao.com/17005302,45,3.8,4,#제로페이,,간식
30,종로떡방,"음식점 > 간식 > 떡,한과",음식점,서울 도봉구 도봉로 471,127.0338852,37.64784727,http://place.map.kakao.com/17005302,45,5.0,2,#제로페이,,간식
31,떡이야기,"음식점 > 간식 > 떡,한과",음식점,서울 도봉구 방학로3길 116,127.0383823,37.65816395,http://place.map.kakao.com/17012200,31,0.0,0,#제로페이,,간식
32,화진떡방,"음식점 > 간식 > 떡,한과",음식점,서울 도봉구 방학로10길 73,127.0349777,37.66507103,http://place.map.kakao.com/17013077,104,0.0,0,#제로페이,,간식
33,떡고을,"음식점 > 간식 > 떡,한과",음식점,서울 도봉구 해등로 268,127.0269314,37.65783556,http://place.map.kakao.com/17340017,418,0.0,0,#제로페이,,간식
34,궁중떡집,"음식점 > 간식 > 떡,한과",음식점,서울 도봉구 방학로10길 67,127.0347136,37.66492605,http://place.map.kakao.com/21392549,131,5.0,1,#제로페이,,간식
35,삼미당잔기지떡,"음식점 > 간식 > 떡,한과",음식점,서울 도봉구 방학로6길 12,127.0373888,37.66349988,http://place.map.kakao.com/154324119,122,5.0,5,"#기정떡, #답례떡, #도봉구떡집, #발효떡, #방학동핫플, #카카오페이, #제로페이",,간식
36,프롬더하트,"음식점 > 간식 > 떡,한과",음식점,서울 도봉구 마들로 650,127.047065,37.66802835,http://place.map.kakao.com/322033045,416,0.0,0,"#수제디저트, #수제케이크, #케이크주문제작, #제로페이",,간식
37,나렌시아케이크,"음식점 > 간식 > 떡,한과",음식점,서울 도봉구 노해로63나길 12,127.0443818,37.65407499,http://place.map.kakao.com/735219628,229,5.0,2,"#떡케이크주문제작, #케이크주문제작, #제로페이",,간식
38,선떡여왕,"음식점 > 간식 > 떡,한과",음식점,서울 도봉구 시루봉로 56,127.0282192,37.65584228,http://place.map.kakao.com/759630101,421,5.0,1,"#상견례, #제로페이",,간식
39,떡공방하소재,"음식점 > 간식 > 떡,한과",음식점,서울 도봉구 도봉로141길 39,127.0398257,37.66160612,http://place.map.kakao.com/971142127,194,0.0,0,#제로페이,,간식
40,도깨비떡집,"음식점 > 간식 > 떡,한과",음식점,서울 도봉구 도당로15길 9,127.0365933,37.66600035,http://place.map.kakao.com/1417657097,111,0.0,0,#제로페이,,간식
41,달콤달달,"음식점 > 간식 > 떡,한과",음식점,서울 도봉구 도봉로139길 56-16,127.0386027,37.66131551,http://place.map.kakao.com/1496947174,213,5.0,2,"#레터링케이크, #상견례, #케이크주문제작, #제로페이",,간식
42,고향떡방,"음식점 > 간식 > 떡,한과",음식점,서울 도봉구 도당로27길 60,127.0412674,37.67001177,http://place.map.kakao.com/1607559235,161,5.0,1,#제로페이,,간식
43,러브라이스샵,"음식점 > 간식 > 떡,한과",음식점,서울 도봉구 덕릉로59나길 17,127.0393242,37.64120353,http://place.map.kakao.com/1623547739,742,4.5,2,"#앙금플라워케이크, #창동떡케이크, #창동숫자케이크, #창동용돈케이크, #도봉구떡케이크, #제로페이",,간식
44,오복농산,"음식점 > 간식 > 떡,한과",음식점,서울 도봉구 시루봉로 297-1,127.0422418,37.67138903,http://place.map.kakao.com/2095181371,417,0.0,0,#제로페이,,간식
45,엘림유통,음식점 > 간식 > 아이스크림,음식점,서울 도봉구 시루봉로12길 6,127.0307014,37.66510015,http://place.map.kakao.com/118023424,273,0.0,0,#제로페이,,간식
46,빵빵아이스크림,음식점 > 간식 > 아이스크림,음식점,서울 도봉구 도봉로146길 40,127.0451653,37.66413145,http://place.map.kakao.com/1181083479,563,0.0,0,"#카카오페이, #제로페이",,간식
47,아이스마켓 창동점,음식점 > 간식 > 아이스크림,음식점,서울 도봉구 도봉로110다길 51,127.0331197,37.64369395,http://place.map.kakao.com/1250604039,229,0.0,0,"#이동약자접근, #카카오페이, #제로페이",,간식
48,초등마켓아이스크림 쌍문점,음식점 > 간식 > 아이스크림,음식점,서울 도봉구 노해로60길 104,127.0325432,37.64700072,http://place.map.kakao.com/1782335671,44,0.0,0,"#카카오페이, #제로페이",,간식
49,배스킨라빈스 쌍문역점,음식점 > 간식 > 아이스크림 > 배스킨라빈스,음식점,서울 도봉구 도봉로 468,127.0343746,37.64747592,http://place.map.kakao.com/11062309,14,2.9,11,"#카카오페이, #제로페이",매우우수,간식
50,배스킨라빈스 창동역2점,음식점 > 간식 > 아이스크림 > 배스킨라빈스,음식점,서울 도봉구 노해로65길 17,127.0461722,37.6520597,http://place.map.kakao.com/11264643,250,3.7,10,"#카카오페이, #제로페이",,간식
51,배스킨라빈스 방학점,음식점 > 간식 > 아이스크림 > 배스킨라빈스,음식점,서울 도봉구 도봉로150길 43,127.0458761,37.66627371,http://place.map.kakao.com/11302690,517,1.5,16,"#이동약자접근, #카카오페이, #제로페이",우수,간식
52,배스킨라빈스 쌍문점,음식점 > 간식 > 아이스크림 > 배스킨라빈스,음식점,서울 도봉구 도당로 6,127.0353136,37.65878478,http://place.map.kakao.com/12255554,264,3.0,10,"#카카오페이, #제로페이",,간식
53,배스킨라빈스 창동역1점,음식점 > 간식 > 아이스크림 > 배스킨라빈스,음식점,서울 도봉구 마들로11길 65,127.0496804,37.65348904,http://place.map.kakao.com/13561960,197,3.2,5,"#카카오페이, #제로페이",,간식
54,배스킨라빈스 신창점,음식점 > 간식 > 아이스크림 > 배스킨라빈스,음식점,서울 도봉구 덕릉로 220,127.0374336,37.63766868,http://place.map.kakao.com/27227100,105,3.1,8,"#카카오페이, #제로페이",매우우수,간식
55,배스킨라빈스 방학사거리점,음식점 > 간식 > 아이스크림 > 배스킨라빈스,음식점,서울 도봉구 도봉로 675,127.0423616,37.6646965,http://place.map.kakao.com/418420886,275,4.4,8,"#카카오페이, #제로페이",매우우수,간식
56,아이스크림스토리 신창시장점,음식점 > 간식 > 아이스크림 > 아이스크림스토리,음식점,서울 도봉구 덕릉로59가길 12,127.0383583,37.64016952,http://place.map.kakao.com/729555553,232,0.0,0,#제로페이,,간식
57,얼음왕국 쌍문332호점,음식점 > 간식 > 아이스크림 > 얼음왕국,음식점,서울 도봉구 노해로60길 38,127.0341172,37.6496762,http://place.map.kakao.com/97054318,76,0.0,0,"#카카오페이, #제로페이",,간식
58,얼음왕국 쌍문한양점,음식점 > 간식 > 아이스크림 > 얼음왕국,음식점,서울 도봉구 도봉로109길 34,127.0314895,37.64710012,http://place.map.kakao.com/1597963792,70,5.0,1,"#카카오페이, #제로페이",,간식
59,얼음왕국 도봉149호점,음식점 > 간식 > 아이스크림 > 얼음왕국,음식점,서울 도봉구 해등로 242-7,127.0296356,37.6581917,http://place.map.kakao.com/2115598647,445,5.0,1,"#카카오페이, #제로페이",,간식
60,응응스크르 서울방학점,음식점 > 간식 > 아이스크림 > 응응스크르,음식점,서울 도봉구 도당로9길 62,127.0310314,37.66278724,http://place.map.kakao.com/234037508,266,5.0,1,#제로페이,,간식
61,응응스크르,음식점 > 간식 > 아이스크림 > 응응스크르,음식점,서울 도봉구 시루봉로 59,127.0277309,37.65614693,http://place.map.kakao.com/1164067324,425,0.0,0,"#카카오페이, #제로페이",,간식
62,응응스크르,음식점 > 간식 > 아이스크림 > 응응스크르,음식점,서울 도봉구 시루봉로 59,127.0277309,37.65614693,http://place.map.kakao.com/1164067324,425,0.0,0,"#카카오페이, #제로페이",,간식
63,응응스크르,음식점 > 간식 > 아이스크림 > 응응스크르,음식점,서울 도봉구 시루봉로 59,127.0277309,37.65614693,http://place.map.kakao.com/1164067324,425,5.0,1,"#카카오페이, #제로페이",,간식
64,응응스크르,음식점 > 간식 > 아이스크림 > 응응스크르,음식점,서울 도봉구 우이천로4라길 29,127.0421124,37.63281259,http://place.map.kakao.com/1324398625,758,0.0,0,"#카카오페이, #제로페이",,간식
65,응응스크르,음식점 > 간식 > 아이스크림 > 응응스크르,음식점,서울 도봉구 우이천로4라길 29,127.0421124,37.63281259,http://place.map.kakao.com/1324398625,758,0.0,0,"#카카오페이, #제로페이",,간식
66,응응스크르,음식점 > 간식 > 아이스크림 > 응응스크르,음식점,서울 도봉구 우이천로4라길 29,127.0421124,37.63281259,http://place.map.kakao.com/1324398625,758,5.0,1,"#카카오페이, #제로페이",,간식
67,카페띠아모 쌍문동점,음식점 > 간식 > 아이스크림 > 카페띠아모,음식점,서울 도봉구 도봉로110다길 38,127.0330917,37.64440394,http://place.map.kakao.com/1333186367,180,5.0,5,#제로페이,,간식
68,픽미픽미아이스 도봉쌍문에벤에셀점,음식점 > 간식 > 아이스크림 > 픽미픽미아이스,음식점,서울 도봉구 해등로 255,127.028349,37.65754601,http://place.map.kakao.com/1931251329,385,5.0,2,"#카카오페이, #제로페이",,간식
69,정항모과자점,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 도당로13길 8,127.0357656,37.66532216,http://place.map.kakao.com/8521235,177,0.0,0,#제로페이,,간식
70,브레드이쉬,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 도봉로145길 7,127.0420623,37.664502,http://place.map.kakao.com/9062056,262,0.0,0,#제로페이,,간식
71,뉴욕베이커리 방학본점,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 도봉로153길 39,127.041358,37.66986488,http://place.map.kakao.com/9156299,221,5.0,1,#제로페이,,간식
72,함스브로트과자점,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 도봉로 483,127.0345498,37.64892826,http://place.map.kakao.com/10920034,150,4.0,52,"#백년가게, #노포, #제로페이",,간식
73,샹도르과자점,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 노해로 384,127.0510256,37.65194959,http://place.map.kakao.com/12048576,330,4.2,6,#제로페이,,간식
74,불란서베이커리,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 우이천로4길 31,127.0411524,37.63405629,http://place.map.kakao.com/16985418,601,3.9,7,#제로페이,,간식
75,모란봉베이커리,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 마들로 684-3,127.0468676,37.6713116,http://place.map.kakao.com/16987256,342,4.3,3,#제로페이,,간식
76,공감떡집,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 노해로63다길 21,127.0461177,37.6537788,http://place.map.kakao.com/16998477,101,0.0,0,#제로페이,,간식
77,벧엘제과,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 도봉로112길 30,127.0363006,37.64680501,http://place.map.kakao.com/17001806,272,5.0,11,#제로페이,,간식
78,임한옥베이커리,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 덕릉로 236,127.0385037,37.6387315,http://place.map.kakao.com/17002392,97,0.0,0,#제로페이,,간식
79,빵굽는쉐프,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 방학로10길 75,127.0350741,37.66518092,http://place.map.kakao.com/17011216,118,0.0,0,"#단호박콩식빵, #롤케잌, #빵, #즉석빵, #파운드케잌, #제로페이",,간식
80,유명한빵집,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 도봉로113길 20,127.033005,37.64834306,http://place.map.kakao.com/18763104,67,5.0,1,#제로페이,,간식
81,브레쉬에비뉴 방학점,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 방학로 216,127.0280663,37.66204468,http://place.map.kakao.com/24545314,326,3.6,25,"#디저트카페, #베이커리카페, #유기농재료, #카카오페이, #제로페이",,간식
82,곰돌이빵집,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 시루봉로 221,127.0345939,37.66829935,http://place.map.kakao.com/68130203,158,4.6,9,#제로페이,,간식
83,쉐프윤찹쌀꽈배기고로케 쌍문점,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 도봉로125길 75,127.0368274,37.65584261,http://place.map.kakao.com/394411013,191,2.0,1,"#카카오페이, #제로페이",,간식
84,"헤이,카롱","음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 해등로16가길 32,127.0413869,37.65445269,http://place.map.kakao.com/445788950,316,5.0,4,"#카카오페이, #제로페이",,간식
85,한니베,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 우이천로 280-1,127.0308376,37.64342968,http://place.map.kakao.com/571511081,193,4.0,4,"#결혼답례품, #돌잔치답례품, #레터링케이크, #수제마카롱전문, #주문제작케이크, #디자인케이크, #수제케이크, #케이크주문제작, #제로페이",,간식
86,빵빵한카스테라,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 도봉로153길 29,127.0417547,37.66988727,http://place.map.kakao.com/698278050,83,4.0,4,"#카카오페이, #제로페이",,간식
87,케익프라자,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 마들로 724,127.0474568,37.67452696,http://place.map.kakao.com/703346506,302,0.0,0,#제로페이,,간식
88,선스랩,"음식점 > 간식 > 제과,베이커리",음식점,서울 도봉구 도봉로114길 35,127.0363282,37.64759787,http://place.map.kakao.com/706294203,466,4.8,13,#제로페이,,간식
